        name           O3      debloat    reduction 
 aircrack-ng           62           55          11% 
 aireplay-ng           94           92           2% 
   airtun-ng           98           96           2% 
       bzip2           14           13           7% 
       gprof          911          839           8% 
        gzip           49           30          39% 
   memcached           59           55           7% 
     netstat           95           45          53% 
     objdump         1156          903          22% 
         pce          622          596           4% 
     readelf          146           77          47% 
      strace          423          405           4% 
